User,Brand,boolean
007maybe,alfaromeo,False
007maybe,samsung,False
007maybe,lavazza,False
007maybe,armani,False
007maybe,adidas,False
007maybe,microsoft,False
007maybe,barilla,False
007maybe,ferrero,True
007maybe,delonghi,False
007maybe,amarelli,False
21Phylk,alfaromeo,False
21Phylk,samsung,False
21Phylk,lavazza,False
21Phylk,armani,False
21Phylk,adidas,False
21Phylk,microsoft,False
21Phylk,barilla,False
21Phylk,ferrero,True
21Phylk,delonghi,False
21Phylk,amarelli,False
ABO_mondo,alfaromeo,False
ABO_mondo,samsung,False
ABO_mondo,lavazza,False
ABO_mondo,armani,False
ABO_mondo,adidas,False
ABO_mondo,microsoft,False
ABO_mondo,barilla,False
ABO_mondo,ferrero,False
ABO_mondo,delonghi,False
ABO_mondo,amarelli,True
ACE2276,alfaromeo,True
ACE2276,samsung,False
ACE2276,lavazza,False
ACE2276,armani,False
ACE2276,adidas,False
ACE2276,microsoft,False
ACE2276,barilla,False
ACE2276,ferrero,False
ACE2276,delonghi,False
ACE2276,amarelli,False
AGnomblea,alfaromeo,False
AGnomblea,samsung,False
AGnomblea,lavazza,False
AGnomblea,armani,False
AGnomblea,adidas,False
AGnomblea,microsoft,False
AGnomblea,barilla,False
AGnomblea,ferrero,True
AGnomblea,delonghi,False
AGnomblea,amarelli,False
AIMSAccountants,alfaromeo,False
AIMSAccountants,samsung,False
AIMSAccountants,lavazza,False
AIMSAccountants,armani,False
AIMSAccountants,adidas,False
AIMSAccountants,microsoft,False
AIMSAccountants,barilla,False
AIMSAccountants,ferrero,True
AIMSAccountants,delonghi,False
AIMSAccountants,amarelli,False
ASomaliyeed,alfaromeo,False
ASomaliyeed,samsung,False
ASomaliyeed,lavazza,False
ASomaliyeed,armani,False
ASomaliyeed,adidas,False
ASomaliyeed,microsoft,False
ASomaliyeed,barilla,False
ASomaliyeed,ferrero,True
ASomaliyeed,delonghi,False
ASomaliyeed,amarelli,False
AgriculturaIT,alfaromeo,False
AgriculturaIT,samsung,False
AgriculturaIT,lavazza,False
AgriculturaIT,armani,False
AgriculturaIT,adidas,False
AgriculturaIT,microsoft,False
AgriculturaIT,barilla,False
AgriculturaIT,ferrero,False
AgriculturaIT,delonghi,False
AgriculturaIT,amarelli,True
Ajentek_,alfaromeo,False
Ajentek_,samsung,True
Ajentek_,lavazza,False
Ajentek_,armani,False
Ajentek_,adidas,False
Ajentek_,microsoft,False
Ajentek_,barilla,False
Ajentek_,ferrero,False
Ajentek_,delonghi,False
Ajentek_,amarelli,False
Alessia65531701,alfaromeo,False
Alessia65531701,samsung,False
Alessia65531701,lavazza,False
Alessia65531701,armani,False
Alessia65531701,adidas,False
Alessia65531701,microsoft,False
Alessia65531701,barilla,False
Alessia65531701,ferrero,False
Alessia65531701,delonghi,False
Alessia65531701,amarelli,True
AliTMumof3,alfaromeo,False
AliTMumof3,samsung,False
AliTMumof3,lavazza,False
AliTMumof3,armani,False
AliTMumof3,adidas,False
AliTMumof3,microsoft,False
AliTMumof3,barilla,False
AliTMumof3,ferrero,True
AliTMumof3,delonghi,True
AliTMumof3,amarelli,False
Allinhubs,alfaromeo,False
Allinhubs,samsung,False
Allinhubs,lavazza,False
Allinhubs,armani,True
Allinhubs,adidas,False
Allinhubs,microsoft,False
Allinhubs,barilla,False
Allinhubs,ferrero,False
Allinhubs,delonghi,False
Allinhubs,amarelli,False
AmandaGem5,alfaromeo,False
AmandaGem5,samsung,False
AmandaGem5,lavazza,True
AmandaGem5,armani,False
AmandaGem5,adidas,False
AmandaGem5,microsoft,True
AmandaGem5,barilla,False
AmandaGem5,ferrero,False
AmandaGem5,delonghi,False
AmandaGem5,amarelli,False
AmberGalore,alfaromeo,False
AmberGalore,samsung,False
AmberGalore,lavazza,True
AmberGalore,armani,False
AmberGalore,adidas,False
AmberGalore,microsoft,False
AmberGalore,barilla,False
AmberGalore,ferrero,False
AmberGalore,delonghi,False
AmberGalore,amarelli,False
AngelFeatherSky,alfaromeo,False
AngelFeatherSky,samsung,False
AngelFeatherSky,lavazza,False
AngelFeatherSky,armani,False
AngelFeatherSky,adidas,False
AngelFeatherSky,microsoft,False
AngelFeatherSky,barilla,False
AngelFeatherSky,ferrero,True
AngelFeatherSky,delonghi,False
AngelFeatherSky,amarelli,False
Anna31746749,alfaromeo,False
Anna31746749,samsung,False
Anna31746749,lavazza,False
Anna31746749,armani,False
Anna31746749,adidas,False
Anna31746749,microsoft,False
Anna31746749,barilla,False
Anna31746749,ferrero,False
Anna31746749,delonghi,False
Anna31746749,amarelli,True
AnotherSnackRev,alfaromeo,False
AnotherSnackRev,samsung,False
AnotherSnackRev,lavazza,False
AnotherSnackRev,armani,False
AnotherSnackRev,adidas,False
AnotherSnackRev,microsoft,False
AnotherSnackRev,barilla,False
AnotherSnackRev,ferrero,True
AnotherSnackRev,delonghi,False
AnotherSnackRev,amarelli,False
AnteaterButters,alfaromeo,False
AnteaterButters,samsung,False
AnteaterButters,lavazza,False
AnteaterButters,armani,False
AnteaterButters,adidas,False
AnteaterButters,microsoft,False
AnteaterButters,barilla,True
AnteaterButters,ferrero,False
AnteaterButters,delonghi,False
AnteaterButters,amarelli,False
AntonelloDiGenn,alfaromeo,False
AntonelloDiGenn,samsung,False
AntonelloDiGenn,lavazza,False
AntonelloDiGenn,armani,False
AntonelloDiGenn,adidas,False
AntonelloDiGenn,microsoft,False
AntonelloDiGenn,barilla,False
AntonelloDiGenn,ferrero,False
AntonelloDiGenn,delonghi,False
AntonelloDiGenn,amarelli,True
ArchitRoma,alfaromeo,False
ArchitRoma,samsung,False
ArchitRoma,lavazza,False
ArchitRoma,armani,False
ArchitRoma,adidas,False
ArchitRoma,microsoft,False
ArchitRoma,barilla,False
ArchitRoma,ferrero,False
ArchitRoma,delonghi,False
ArchitRoma,amarelli,True
Arena_vision1,alfaromeo,True
Arena_vision1,samsung,True
Arena_vision1,lavazza,False
Arena_vision1,armani,True
Arena_vision1,adidas,True
Arena_vision1,microsoft,True
Arena_vision1,barilla,False
Arena_vision1,ferrero,False
Arena_vision1,delonghi,False
Arena_vision1,amarelli,False
ArtBlocksEngine,alfaromeo,False
ArtBlocksEngine,samsung,True
ArtBlocksEngine,lavazza,False
ArtBlocksEngine,armani,False
ArtBlocksEngine,adidas,False
ArtBlocksEngine,microsoft,False
ArtBlocksEngine,barilla,False
ArtBlocksEngine,ferrero,False
ArtBlocksEngine,delonghi,False
ArtBlocksEngine,amarelli,False
Artistic_Flow92,alfaromeo,False
Artistic_Flow92,samsung,True
Artistic_Flow92,lavazza,False
Artistic_Flow92,armani,False
Artistic_Flow92,adidas,False
Artistic_Flow92,microsoft,False
